"","Team1","Team2","Indicator1","Stadium_Clean1","Attendance_Clean1","Indicator2","Indicator3","Stadium_Clean2","Date","Attendance2","Attendance3","Attendance_Clean4","Season"
"97","
						Melbourne City FC

						","
						Sydney FC

						","Hyundai A-League R20","AAMI Park","8,587","
						Hyundai A-League R20
						AAMI Park
					","Hyundai A-League R20","AAMI Park","2018-02-10T08:50:00+00:00","
							Attendance
							8,587
						","Attendance","8,587","17/18"
"98","
						Wellington Phoenix

						","
						Perth Glory

						","Hyundai A-League R20","Westpac Stadium","4,806","
						Hyundai A-League R20
						Westpac Stadium
					","Hyundai A-League R20","Westpac Stadium","2018-02-17T06:35:00+00:00","
							Attendance
							4,806
						","Attendance","4,806","17/18"
"99","
						Western Sydney Wanderers FC

						","
						Newcastle Jets

						","Hyundai A-League R20","Spotless Stadium","10,065","
						Hyundai A-League R20
						Spotless Stadium
					","Hyundai A-League R20","Spotless Stadium","2018-02-16T08:50:00+00:00","
							Attendance
							10,065
						","Attendance","10,065","17/18"
"100","
						Adelaide United

						","
						Central Coast Mariners

						","Hyundai A-League R20","Coopers Stadium","8,282","
						Hyundai A-League R20
						Coopers Stadium
					","Hyundai A-League R20","Coopers Stadium","2018-02-17T08:50:00+00:00","
							Attendance
							8,282
						","Attendance","8,282","17/18"
"101","
						Central Coast Mariners

						","
						Wellington Phoenix

						","Hyundai A-League R21","Central Coast Stadium","4,973","
						Hyundai A-League R21
						Central Coast Stadium
					","Hyundai A-League R21","Central Coast Stadium","2018-02-23T08:50:00+00:00","
							Attendance
							4,973
						","Attendance","4,973","17/18"
"102","
						Brisbane Roar FC

						","
						Newcastle Jets

						","Hyundai A-League R21","Suncorp Stadium","8,120","
						Hyundai A-League R21
						Suncorp Stadium
					","Hyundai A-League R21","Suncorp Stadium","2018-02-24T06:35:00+00:00","
							Attendance
							8,120
						","Attendance","8,120","17/18"
"103","
						Melbourne Victory

						","
						Adelaide United

						","Hyundai A-League R21","AAMI Park","13,396","
						Hyundai A-League R21
						AAMI Park
					","Hyundai A-League R21","AAMI Park","2018-02-24T08:50:00+00:00","
							Attendance
							13,396
						","Attendance","13,396","17/18"
"104","
						Perth Glory

						","
						Melbourne City FC

						","Hyundai A-League R21","HBF Park","8,029","
						Hyundai A-League R21
						HBF Park
					","Hyundai A-League R21","HBF Park","2018-02-24T11:00:00+00:00","
							Attendance
							8,029
						","Attendance","8,029","17/18"
"105","
						Sydney FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R21","Allianz Stadium","25,211","
						Hyundai A-League R21
						Allianz Stadium
					","Hyundai A-League R21","Allianz Stadium","2018-02-25T07:30:00+00:00","
							Attendance
							25,211
						","Attendance","25,211","17/18"
"106","
						Melbourne City FC

						","
						Melbourne Victory

						","Hyundai A-League R22","AAMI Park","20,083","
						Hyundai A-League R22
						AAMI Park
					","Hyundai A-League R22","AAMI Park","2018-03-02T08:50:00+00:00","
							Attendance
							20,083
						","Attendance","20,083","17/18"
"107","
						Brisbane Roar FC

						","
						Adelaide United

						","Hyundai A-League R22","Suncorp Stadium","8,237","
						Hyundai A-League R22
						Suncorp Stadium
					","Hyundai A-League R22","Suncorp Stadium","2018-03-03T08:50:00+00:00","
							Attendance
							8,237
						","Attendance","8,237","17/18"
"108","
						Newcastle Jets

						","
						Sydney FC

						","Hyundai A-League R22","McDonald Jones Stadium","18,156","
						Hyundai A-League R22
						McDonald Jones Stadium
					","Hyundai A-League R22","McDonald Jones Stadium","2018-03-03T06:35:00+00:00","
							Attendance
							18,156
						","Attendance","18,156","17/18"
"109","
						Perth Glory

						","
						Central Coast Mariners

						","Hyundai A-League R22","HBF Park","7,277","
						Hyundai A-League R22
						HBF Park
					","Hyundai A-League R22","HBF Park","2018-03-10T11:00:00+00:00","
							Attendance
							7,277
						","Attendance","7,277","17/18"
"110","
						Western Sydney Wanderers FC

						","
						Wellington Phoenix

						","Hyundai A-League R22","Spotless Stadium","7,041","
						Hyundai A-League R22
						Spotless Stadium
					","Hyundai A-League R22","Spotless Stadium","2018-03-10T08:50:00+00:00","
							Attendance
							7,041
						","Attendance","7,041","17/18"
"111","
						Adelaide United

						","
						Melbourne City FC

						","Hyundai A-League R23","Coopers Stadium","7,668","
						Hyundai A-League R23
						Coopers Stadium
					","Hyundai A-League R23","Coopers Stadium","2018-03-16T08:50:00+00:00","
							Attendance
							7,668
						","Attendance","7,668","17/18"
"112","
						Wellington Phoenix

						","
						Newcastle Jets

						","Hyundai A-League R23","QBE Stadium","4,672","
						Hyundai A-League R23
						QBE Stadium
					","Hyundai A-League R23","QBE Stadium","2018-03-17T06:35:00+00:00","
							Attendance
							4,672
						","Attendance","4,672","17/18"
"113","
						Western Sydney Wanderers FC

						","
						Perth Glory

						","Hyundai A-League R23","Spotless Stadium","6,612","
						Hyundai A-League R23
						Spotless Stadium
					","Hyundai A-League R23","Spotless Stadium","2018-03-04T06:00:00+00:00","
							Attendance
							6,612
						","Attendance","6,612","17/18"
"114","
						Melbourne Victory

						","
						Central Coast Mariners

						","Hyundai A-League R23","AAMI Park","14,076","
						Hyundai A-League R23
						AAMI Park
					","Hyundai A-League R23","AAMI Park","2018-03-18T06:00:00+00:00","
							Attendance
							14,076
						","Attendance","14,076","17/18"
"115","
						Sydney FC

						","
						Brisbane Roar FC

						","Hyundai A-League R23","Allianz Stadium","10,890","
						Hyundai A-League R23
						Allianz Stadium
					","Hyundai A-League R23","Allianz Stadium","2018-03-17T08:50:00+00:00","
							Attendance
							10,890
						","Attendance","10,890","17/18"
"116","
						Adelaide United

						","
						Newcastle Jets

						","Hyundai A-League R24","Coopers Stadium","7,227","
						Hyundai A-League R24
						Coopers Stadium
					","Hyundai A-League R24","Coopers Stadium","2018-03-23T08:50:00+00:00","
							Attendance
							7,227
						","Attendance","7,227","17/18"
"117","
						Central Coast Mariners

						","
						Sydney FC

						","Hyundai A-League R24","Central Coast Stadium","7,082","
						Hyundai A-League R24
						Central Coast Stadium
					","Hyundai A-League R24","Central Coast Stadium","2018-03-24T06:35:00+00:00","
							Attendance
							7,082
						","Attendance","7,082","17/18"
"118","
						Melbourne City FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R24","AAMI Park","6,354","
						Hyundai A-League R24
						AAMI Park
					","Hyundai A-League R24","AAMI Park","2018-03-24T08:50:00+00:00","
							Attendance
							6,354
						","Attendance","6,354","17/18"
"119","
						Perth Glory

						","
						Melbourne Victory

						","Hyundai A-League R24","HBF Park","7,796","
						Hyundai A-League R24
						HBF Park
					","Hyundai A-League R24","HBF Park","2018-03-25T08:00:00+00:00","
							Attendance
							7,796
						","Attendance","7,796","17/18"
"120","
						Wellington Phoenix

						","
						Brisbane Roar FC

						","Hyundai A-League R24","Westpac Stadium","4,594","
						Hyundai A-League R24
						Westpac Stadium
					","Hyundai A-League R24","Westpac Stadium","2018-03-25T06:00:00+00:00","
							Attendance
							4,594
						","Attendance","4,594","17/18"
"121","
						Newcastle Jets

						","
						Melbourne City FC

						","Hyundai A-League R25","McDonald Jones Stadium","11,423","
						Hyundai A-League R25
						McDonald Jones Stadium
					","Hyundai A-League R25","McDonald Jones Stadium","2018-04-01T07:00:00+00:00","
							Attendance
							11,423
						","Attendance","11,423","17/18"
"122","
						Adelaide United

						","
						Wellington Phoenix

						","Hyundai A-League R25","Coopers Stadium","11,738","
						Hyundai A-League R25
						Coopers Stadium
					","Hyundai A-League R25","Coopers Stadium","2018-03-30T08:50:00+00:00","
							Attendance
							11,738
						","Attendance","11,738","17/18"
"123","
						Brisbane Roar FC

						","
						Central Coast Mariners

						","Hyundai A-League R25","Suncorp Stadium","12,019","
						Hyundai A-League R25
						Suncorp Stadium
					","Hyundai A-League R25","Suncorp Stadium","2018-03-31T06:35:00+00:00","
							Attendance
							12,019
						","Attendance","12,019","17/18"
"124","
						Melbourne Victory

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R25","AAMI Park","15,280","
						Hyundai A-League R25
						AAMI Park
					","Hyundai A-League R25","AAMI Park","2018-03-31T08:50:00+00:00","
							Attendance
							15,280
						","Attendance","15,280","17/18"
"125","
						Perth Glory

						","
						Sydney FC

						","Hyundai A-League R25","HBF Park","7,742","
						Hyundai A-League R25
						HBF Park
					","Hyundai A-League R25","HBF Park","2018-03-29T10:30:00+00:00","
							Attendance
							7,742
						","Attendance","7,742","17/18"
"126","
						Newcastle Jets

						","
						Perth Glory

						","Hyundai A-League R26","McDonald Jones Stadium","8,123","
						Hyundai A-League R26
						McDonald Jones Stadium
					","Hyundai A-League R26","McDonald Jones Stadium","2018-04-06T09:50:00+00:00","
							Attendance
							8,123
						","Attendance","8,123","17/18"
"127","
						Melbourne City FC

						","
						Central Coast Mariners

						","Hyundai A-League R26","AAMI Park","8,156","
						Hyundai A-League R26
						AAMI Park
					","Hyundai A-League R26","AAMI Park","2018-04-07T09:50:00+00:00","
							Attendance
							8,156
						","Attendance","8,156","17/18"
"128","
						Western Sydney Wanderers FC

						","
						Brisbane Roar FC

						","Hyundai A-League R26","ANZ Stadium","9,266","
						Hyundai A-League R26
						ANZ Stadium
					","Hyundai A-League R26","ANZ Stadium","2018-04-07T07:35:00+00:00","
							Attendance
							9,266
						","Attendance","9,266","17/18"
"129","
						Melbourne Victory

						","
						Wellington Phoenix

						","Hyundai A-League R26","AAMI Park","13,182","
						Hyundai A-League R26
						AAMI Park
					","Hyundai A-League R26","AAMI Park","2018-04-08T07:00:00+00:00","
							Attendance
							13,182
						","Attendance","13,182","17/18"
"130","
						Sydney FC

						","
						Adelaide United

						","Hyundai A-League R26","Allianz Stadium","9,110","
						Hyundai A-League R26
						Allianz Stadium
					","Hyundai A-League R26","Allianz Stadium","2018-04-08T09:00:00+00:00","
							Attendance
							9,110
						","Attendance","9,110","17/18"
"131","
						Sydney FC

						","
						Melbourne Victory

						","Hyundai A-League R27","Allianz Stadium","15,567","
						Hyundai A-League R27
						Allianz Stadium
					","Hyundai A-League R27","Allianz Stadium","2018-04-13T09:50:00+00:00","
							Attendance
							15,567
						","Attendance","15,567","17/18"
"132","
						Central Coast Mariners

						","
						Newcastle Jets

						","Hyundai A-League R27","Central Coast Stadium","7,604","
						Hyundai A-League R27
						Central Coast Stadium
					","Hyundai A-League R27","Central Coast Stadium","2018-04-14T09:50:00+00:00","
							Attendance
							7,604
						","Attendance","7,604","17/18"
"133","
						Perth Glory

						","
						Brisbane Roar FC

						","Hyundai A-League R27","HBF Park","9,579","
						Hyundai A-League R27
						HBF Park
					","Hyundai A-League R27","HBF Park","2018-04-14T12:00:00+00:00","
							Attendance
							9,579
						","Attendance","9,579","17/18"
"134","
						Wellington Phoenix

						","
						Melbourne City FC

						","Hyundai A-League R27","QBE Stadium","4,312","
						Hyundai A-League R27
						QBE Stadium
					","Hyundai A-League R27","QBE Stadium","2018-04-14T07:35:00+00:00","
							Attendance
							4,312
						","Attendance","4,312","17/18"
"135","
						Western Sydney Wanderers FC

						","
						Adelaide United

						","Hyundai A-League R27","ANZ Stadium","12,122","
						Hyundai A-League R27
						ANZ Stadium
					","Hyundai A-League R27","ANZ Stadium","2018-04-15T07:00:00+00:00","
							Attendance
							12,122
						","Attendance","12,122","17/18"
"136","
						Brisbane Roar FC

						","
						Melbourne Victory

						","Hyundai A-League R1","Suncorp Stadium","15,805","
						Hyundai A-League R1
						Suncorp Stadium
					","Hyundai A-League R1","Suncorp Stadium","2016-10-07T08:50:00+00:00","
							Attendance
							15,805
						","Attendance","15,805","16/17"
"137","
						Wellington Phoenix

						","
						Melbourne City FC

						","Hyundai A-League R1","Westpac Stadium","10,034","
						Hyundai A-League R1
						Westpac Stadium
					","Hyundai A-League R1","Westpac Stadium","2016-10-08T06:35:00+00:00","
							Attendance
							10,034
						","Attendance","10,034","16/17"
"138","
						Western Sydney Wanderers FC

						","
						Sydney FC

						","Hyundai A-League R1","ANZ Stadium","61,880","
						Hyundai A-League R1
						ANZ Stadium
					","Hyundai A-League R1","ANZ Stadium","2016-10-08T08:50:00+00:00","
							Attendance
							61,880
						","Attendance","61,880","16/17"
"139","
						Perth Glory

						","
						Central Coast Mariners

						","Hyundai A-League R1","HBF Park","9,501","
						Hyundai A-League R1
						HBF Park
					","Hyundai A-League R1","HBF Park","2016-10-08T11:00:00+00:00","
							Attendance
							9,501
						","Attendance","9,501","16/17"
"140","
						Newcastle Jets

						","
						Adelaide United

						","Hyundai A-League R1","McDonald Jones Stadium","9,145","
						Hyundai A-League R1
						McDonald Jones Stadium
					","Hyundai A-League R1","McDonald Jones Stadium","2016-10-09T06:00:00+00:00","
							Attendance
							9,145
						","Attendance","9,145","16/17"
"141","
						Adelaide United

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R2","Coopers Stadium","14,789","
						Hyundai A-League R2
						Coopers Stadium
					","Hyundai A-League R2","Coopers Stadium","2016-10-14T08:50:00+00:00","
							Attendance
							14,789
						","Attendance","14,789","16/17"
